image,n_gt,bucket,area,size,max_iou_nbr,nbr_count,rank,m300,m1000
0000001_02999_d_0000005,127,100-150,4968.0,medium,0.0,3,2,1,1
0000001_02999_d_0000005,127,100-150,5704.0,medium,0.0,2,0,1,1
0000001_02999_d_0000005,127,100-150,7370.0,medium,0.0,4,1,1,1
0000001_02999_d_0000005,127,100-150,1458.0,medium,0.4952,1,101,1,1
0000001_02999_d_0000005,127,100-150,722.0,small,0.4952,1,22,1,1
0000001_02999_d_0000005,127,100-150,2208.0,medium,0.2977,3,74,1,1
0000001_02999_d_0000005,127,100-150,702.0,small,0.0,0,652,0,1
0000001_02999_d_0000005,127,100-150,1323.0,medium,0.2977,3,339,0,1
0000001_02999_d_0000005,127,100-150,2860.0,medium,0.2149,6,-1,0,0
0000001_02999_d_0000005,127,100-150,684.0,small,0.2149,1,559,0,1
0000001_02999_d_0000005,127,100-150,3660.0,medium,0.0124,4,-1,0,0
0000001_02999_d_0000005,127,100-150,1716.0,medium,0.0058,1,23,1,1
0000001_02999_d_0000005,127,100-150,2408.0,medium,0.1247,6,-1,0,0
0000001_02999_d_0000005,127,100-150,3906.0,medium,0.1247,5,505,0,1
0000001_02999_d_0000005,127,100-150,2900.0,medium,0.0,7,-1,0,0
0000001_02999_d_0000005,127,100-150,2760.0,medium,0.0958,7,496,0,1
0000001_02999_d_0000005,127,100-150,1666.0,medium,0.0958,8,109,1,1
0000001_02999_d_0000005,127,100-150,1488.0,medium,0.1058,9,64,1,1
0000001_02999_d_0000005,127,100-150,1334.0,medium,0.2619,6,19,1,1
0000001_02999_d_0000005,127,100-150,1305.0,medium,0.1569,7,33,1,1
0000001_02999_d_0000005,127,100-150,1350.0,medium,0.1569,7,518,0,1
0000001_02999_d_0000005,127,100-150,2352.0,medium,0.2619,12,442,0,1
0000001_02999_d_0000005,127,100-150,1960.0,medium,0.3322,9,446,0,1
0000001_02999_d_0000005,127,100-150,3654.0,medium,0.3322,15,-1,0,0
0000001_02999_d_0000005,127,100-150,2392.0,medium,0.0727,11,970,0,1
0000001_02999_d_0000005,127,100-150,1890.0,medium,0.4633,7,270,1,1
0000001_02999_d_0000005,127,100-150,1862.0,medium,0.4633,10,234,1,1
0000001_02999_d_0000005,127,100-150,1218.0,medium,0.1516,8,216,1,1
0000001_02999_d_0000005,127,100-150,1290.0,medium,0.0458,5,7,1,1
